1,Queso,tajada delgada
2,Quesillo,tajada delgada
3,Cuajada,tajada delgada
4,Huevo en lonchita,Unidades delgadas
5,Huevo,Unidad
6,Salchicha,Unidad
7,Salchichón,Unidad
8,Mortadela,Tajada
9,Jamón,Tajadas delgadas

