1,Acelgas	
2,Ahuyama		
3,Alcachofa		
4,Apio		
5,Berenjena		
6,Brócoli		
7,Calabacín		
8,Cebolla		
9,Cidra		
10,Champiñones		
11,Col (Todos los tipos)		
12,Coles de Bruselas		
13,Coliflor		
14,Corazones de palmitos		
15,Espárragos		
16,Espinaca		
17,Habichuela		
18,Lechuga (todos los tipos)		
19,Nabo		
20,Pepino		
21,Pimientos (todos los tipos)		
22,Puerro		
23,Rábano		
24,Remolacha	
25,Repollo		
26,Rúgula		
27,Tomate		
28,Vitoria		
29,Zanahorias
